6,316,616
270,316,616
535,316,616
799,323,598
1063,380,450
1327,419,376
1592,419,376
1864,419,376
2123,680,297
2389,772,270
2654,772,270
2921,772,270
3185,772,270
3450,600,76
3715,540,32
3983,540,32
4246,156,192
4511,115,205
4775,115,205
5042,90,261
5305,20,506
5566,0,672
5830,0,698
6096,0,698
6358,0,720
6624,0,720
6890,531,720
7152,562,720
7416,793,502
7681,793,502
7947,0,0
8215,0,0
8480,0,0
8745,0,0
9011,0,720
9276,0,720
9537,245,720
9804,1280,720
10066,1280,720
10331,1280,0
10595,1280,0
10858,41,0
11123,0,9
11389,822,378
11656,829,234
11919,1235,464
12185,1000,604
12448,680,512
12712,760,632
12975,789,410
13235,596,321
13498,573,428
13763,686,620
14029,643,634
14298,643,634
14560,643,634
